ano,sigla_uf,id_municipio,numero_obitos,tempo_medio_emprego,qtd_pessoas_cidade_uf,qtd_brancos_cidade_uf,qtd_negros_cidade_uf,qtd_indigena_cidade_uf,qtd_amarelos_cidade_uf,quantidade_estabelecimentos_ensino_infantil,quantidade_estabelecimentos_ensino_fundamental,quantidade_estabelecimentos_ensino_medio,seguranca,assistencia,previdencia,despesa_total,taxa_abandono_ef,taxa_reprovacao_ef,taxa_aprovacao_ef,taxa_abandono_em,taxa_reprovacao_em,taxa_aprovacao_em,atu_ei,atu_ef,atu_em,populacao,log_populacao,log_obitos,log_despesa,log_seguranca,log_assistencia,log_previdencia,obitos_pc,despesa_pc,seguranca_pc,assistencia_pc,previdencia_pc,maioria_nao_branca_cidade_uf,regiao,norte,nordeste,sudeste,sul,centro,pop_quantile
2019,CE,2308708,453,4.291666666666667,2405318.0,890723.0,1470664.0,2759.0,31970.0,209.0,367.0,169.0,0.0,16691532.55,88892543.28,821448154.2900003,2.1636363636363636,8.909090909090908,88.92727272727272,8.225,3.0,88.775,18.199999999999996,23.463636363636365,29.975,61890.0,11.033113894733408,6.118097198041348,20.52657938363877,0.0,16.6304121757788,18.30293883060045,0.007319437712069801,13272.712139117795,0.0,269.69676118920665,1436.2989704314107,1,Nordeste,0,1,0,0,0,D
2019,CE,2308807,48,,2405318.0,890723.0,1470664.0,2759.0,31970.0,209.0,367.0,169.0,0.0,6000585.86,0.0,443595034.8300001,0.7333333333333335,5.733333333333334,93.53333333333336,6.5,5.5,88.0,16.93333333333333,16.299999999999997,28.8,8724.0,9.07383312732152,3.8918202981106265,19.910422622733147,0.0,15.607367832409244,0.0,0.005502063273727648,50847.66561554334,0.0,687.8250641907382,0.0,1,Nordeste,0,1,0,0,0,B
2019,CE,2308906,116,4.75,2405318.0,890723.0,1470664.0,2759.0,31970.0,209.0,367.0,169.0,0.0,11601122.719999999,0.0,1523884582.529999,0.2818181818181818,0.08181818181818182,99.63636363636364,3.4454545454545453,2.1636363636363636,94.39090909090909,18.81818181818182,22.7,30.60909090909091,22534.0,10.022780558724111,4.762173934797756,21.144528558751144,0.0,16.266612523798557,0.0,0.005147776692997249,67626.01324798078,0.0,514.8274926777314,0.0,1,Nordeste,0,1,0,0,0,C
2019,CE,2309003,105,0.0,2405318.0,890723.0,1470664.0,2759.0,31970.0,209.0,367.0,169.0,4030827.33,3738121.7399999998,0.0,227662813.25999993,0.23636363636363636,0.05454545454545454,99.7090909090909,8.5,2.1999999999999997,89.3,16.427272727272726,18.545454545454547,33.800000000000004,14537.0,9.584452402426324,4.663439094112067,19.24337620746464,15.209482453745148,15.134094102199603,0.0,0.007222948338721882,15660.921322143491,277.2805482561739,257.14533535117283,0.0,1,Nordeste,0,1,0,0,0,C
2019,CE,2309102,45,6.888888888888889,2405318.0,890723.0,1470664.0,2759.0,31970.0,209.0,367.0,169.0,0.0,4660771.93,0.0,477522821.13,0.7909090909090909,2.0454545454545454,97.16363636363639,1.2,2.3000000000000003,96.5,13.918181818181818,18.681818181818183,39.300000000000004,10823.0,9.289428778295147,3.828641396489095,19.98412251177956,0.0,15.354691857154648,0.0,0.004157812066894576,44121.11439804121,0.0,430.6358615910561,0.0,1,Nordeste,0,1,0,0,0,B
2019,CE,2309201,102,16.4,2405318.0,890723.0,1470664.0,2759.0,31970.0,209.0,367.0,169.0,0.0,5821701.57,11108769.69,325497130.8000003,0.0,2.0545454545454542,97.94545454545455,1.3666666666666667,0.43333333333333335,98.19999999999999,16.254545454545454,20.38181818181818,37.73333333333332,15565.0,9.652780082875708,4.634728988229636,19.60086420789973,0.0,15.577103314727468,16.22324550652887,0.006553164150337295,20912.118907805994,0.0,374.02515708319953,713.7018753613877,1,Nordeste,0,1,0,0,0,C
2019,CE,2309300,252,8.166666666666666,2405318.0,890723.0,1470664.0,2759.0,31970.0,209.0,367.0,169.0,0.0,5262981.120000001,0.0,262263271.47,0.709090909090909,1.7909090909090908,97.5,2.225,2.5,95.275,15.872727272727273,18.599999999999998,32.35,32328.0,10.38368900675831,5.53338948872752,19.384859413950505,0.0,15.476208367028226,0.0,0.0077951002227171495,8112.5733565330365,0.0,162.7994654788419,0.0,1,Nordeste,0,1,0,0,0,D
2019,CE,2309409,189,7.4,2405318.0,890723.0,1470664.0,2759.0,31970.0,209.0,367.0,169.0,0.0,12525499.65,1374720.6,357944802.00000036,0.29090909090909095,0.12727272727272726,99.58181818181816,1.5999999999999999,0.39999999999999997,98.0,15.436363636363636,20.78181818181818,39.4,28607.0,10.26140672210502,5.247024072160486,19.69588935091353,0.0,16.34327717619223,14.133761795855166,0.006606774565665746,12512.490019925206,0.0,437.8473677771175,48.05539203691404,1,Nordeste,0,1,0,0,0,D
2019,CE,2309458,178,8.0,2405318.0,890723.0,1470664.0,2759.0,31970.0,209.0,367.0,169.0,0.0,11656634.91,14122455.079999998,652327985.8800001,0.23636363636363644,2.2363636363636363,97.52727272727272,2.966666666666666,3.066666666666667,93.96666666666665,14.845454545454546,20.145454545454545,34.46666666666667,25703.0,10.154362995588228,5.187385805840755,20.296058040766983,0.0,16.271386181820642,16.46327671824576,0.006925261642609812,25379.449320312808,0.0,453.5126214838735,549.447732949461,1,Nordeste,0,1,0,0,0,D
2019,CE,2309508,190,0.0,2405318.0,890723.0,1470664.0,2759.0,31970.0,209.0,367.0,169.0,0.0,17645918.68,0.0,609448329.5400009,1.1909090909090914,6.181818181818182,92.62727272727274,3.9,7.8999999999999995,88.2,21.527272727272727,21.490909090909096,34.199999999999996,21427.0,9.972407088000725,5.25227342804663,20.228064729772846,0.0,16.686015135014056,0.0,0.008867316936575349,28443.007865776868,0.0,823.5365977505016,0.0,1,Nordeste,0,1,0,0,0,C
2019,CE,2309607,421,6.168674698795181,2405318.0,890723.0,1470664.0,2759.0,31970.0,209.0,367.0,169.0,0.0,15733513.11,59694960.18,547831292.1599995,0.809090909090909,4.9363636363636365,94.25454545454546,2.125,3.65,94.225,17.381818181818183,26.854545454545452,39.300000000000004,72203.0,11.187236875264226,6.045005314036012,20.121477938316836,0.0,16.57130365186404,17.904758172455693,0.005830782654460341,7587.375762225939,0.0,217.90663975181087,826.76564934975,1,Nordeste,0,1,0,0,0,D
2019,CE,2309706,357,12.02127659574468,2405318.0,890723.0,1470664.0,2759.0,31970.0,209.0,367.0,169.0,20216271.320000004,28498326.7,46340785.84,493622566.02000016,0.976923076923077,3.023076923076923,96.0,7.666666666666667,4.333333333333332,88.0,16.092307692307692,20.26153846153846,37.3,83432.0,11.33178720780105,5.8805329864007,20.017281748756712,16.82199839847784,17.165355966324324,17.6515330565395,0.00427893374244894,5916.465696854926,242.30836273851764,341.57549501390355,555.4317988301851,1,Nordeste,0,1,0,0,0,D
2019,CE,2309805,88,,2405318.0,890723.0,1470664.0,2759.0,31970.0,209.0,367.0,169.0,0.0,5785144.5,17601113.14,1280736885.1800008,0.15454545454545454,5.236363636363636,94.60909090909091,2.1,1.5999999999999999,96.3,17.78181818181818,20.85454545454546,35.0,12261.0,9.414178772232386,4.48863636973214,20.970701441558806,0.0,15.570804069546867,16.683472761413896,0.007177228611043145,104456.15244922932,0.0,471.8330070956692,1435.5365092569937,1,Nordeste,0,1,0,0,0,C
