,inicial_mat,inicial_pt,in_laboratorio_informatica,in_laboratorio_ciencias,in_quadra_esportes,in_cozinha,in_biblioteca,in_sala_leitura,in_internet,in_alimentacao,tp_atividade_complementar,tp_localizacao,num_proffundamental,num_matri_fund_total_geral,num_turmas_fund_total_geral,nu_salas_utilizadas,nu_funcionarios,num_matri_fund_1a4,matri/prof,matri/salas,com_escola_1,com_escola_2,rural,alimentacao_rural
68,213.29,203.88,1,0,0,1,1,0,1,1,0,2. Rural,40.0,0.0,0.0,8,30,0.0,0.0,0.0,5,3,1,1
69,207.82,196.56,1,0,1,1,1,0,1,1,0,1. Urbana,85.0,0.0,0.0,10,44,0.0,0.0,0.0,6,4,0,0
70,200.11,186.05,1,0,1,1,0,1,1,1,0,1. Urbana,10.0,0.0,0.0,8,24,0.0,0.0,0.0,6,4,0,0
71,212.13,201.71,1,0,0,1,0,1,1,1,1,1. Urbana,11.0,0.0,0.0,6,19,0.0,0.0,0.0,5,3,0,0
72,228.89,236.0,1,0,0,1,0,0,1,1,0,1. Urbana,12.0,0.0,0.0,7,23,0.0,0.0,0.0,4,3,0,0
73,165.84,163.59,1,0,0,1,1,0,1,1,0,1. Urbana,15.0,0.0,0.0,11,28,0.0,0.0,0.0,5,3,0,0
74,212.06,208.94,1,0,0,1,1,1,1,1,0,1. Urbana,24.0,0.0,0.0,7,39,0.0,0.0,0.0,6,3,0,0
75,199.01,189.85,1,0,0,1,1,0,0,1,0,2. Rural,35.0,0.0,0.0,5,30,0.0,0.0,0.0,4,2,1,1
76,200.07,191.4,1,0,0,1,0,1,1,1,0,1. Urbana,32.0,0.0,0.0,9,35,0.0,0.0,0.0,5,3,0,0
77,193.57,181.79,1,0,0,1,0,0,0,1,1,2. Rural,8.0,0.0,0.0,8,17,0.0,0.0,0.0,3,2,1,1
78,227.08,222.36,1,0,0,1,0,1,1,1,0,1. Urbana,27.0,0.0,0.0,10,26,0.0,0.0,0.0,5,3,0,0
79,227.98,218.05,1,1,1,1,1,1,1,1,0,1. Urbana,222.0,0.0,0.0,25,152,0.0,0.0,0.0,8,5,0,0
80,235.76,225.56,1,0,1,1,0,1,1,1,1,1. Urbana,139.0,0.0,0.0,13,65,0.0,0.0,0.0,6,4,0,0
