,final_mat,final_pt,in_laboratorio_informatica,in_laboratorio_ciencias,in_quadra_esportes,in_cozinha,in_biblioteca,in_sala_leitura,in_internet,in_alimentacao,tp_atividade_complementar,tp_localizacao,num_proffundamental,num_matri_fund_total_geral,num_turmas_fund_total_geral,nu_salas_utilizadas,nu_funcionarios,num_matri_fund_5a8,rural
97,248.34,241.37,1,0,0,1,1,0,1,1,0,1. Urbana,38.0,0.0,0.0,8,36,0.0,0
98,267.19,258.71,1,0,1,1,1,1,1,1,1,1. Urbana,40.0,0.0,0.0,10,42,0.0,0
99,259.63,256.63,0,0,1,1,0,0,1,1,0,1. Urbana,64.0,0.0,0.0,11,44,0.0,0
100,269.07,263.92,1,1,1,1,1,1,1,1,0,1. Urbana,98.0,0.0,0.0,13,67,0.0,0
101,256.29,258.99,0,0,1,1,1,0,1,1,0,1. Urbana,34.0,0.0,0.0,8,51,0.0,0
102,259.34,262.65,1,1,1,1,1,1,1,1,0,1. Urbana,143.0,0.0,0.0,21,79,0.0,0
103,252.5,244.34,1,0,1,1,1,0,1,1,0,1. Urbana,49.0,0.0,0.0,7,34,0.0,0
104,269.09,273.22,1,1,1,1,1,0,1,1,0,1. Urbana,156.0,0.0,0.0,15,57,0.0,0
105,252.35,248.08,1,1,1,1,1,1,1,1,0,1. Urbana,186.0,0.0,0.0,17,74,0.0,0
106,263.73,263.92,1,0,1,1,1,1,1,1,0,1. Urbana,140.0,0.0,0.0,18,81,0.0,0
107,269.96,258.86,1,1,1,1,1,1,1,1,1,1. Urbana,139.0,0.0,0.0,19,87,0.0,0
108,269.75,270.38,1,1,1,1,1,0,1,1,0,1. Urbana,96.0,0.0,0.0,26,81,0.0,0
109,270.78,264.49,1,0,1,1,1,0,1,1,0,1. Urbana,94.0,0.0,0.0,9,56,0.0,0
110,263.62,266.6,1,0,0,1,0,1,1,1,1,2. Rural,31.0,0.0,0.0,7,30,0.0,1
111,247.63,243.49,0,0,0,1,0,0,1,1,1,2. Rural,37.0,0.0,0.0,7,34,0.0,1
112,256.25,253.58,1,0,1,1,1,0,1,1,0,1. Urbana,60.0,0.0,0.0,10,59,0.0,0
113,269.47,272.75,0,0,1,1,1,0,1,1,1,1. Urbana,104.0,0.0,0.0,10,85,0.0,0
